unix,date,symbol,open,high,low,close,Volume ANKR,Volume USD
1.71E+12,06-04-2024 23:00,ANKR/USD,0.05952,0.06,0.05896,0.05896,27119.77964,1598.982207
1.71E+12,06-04-2024 22:00,ANKR/USD,0.05876,0.05952,0.05876,0.05952,110532.1119,6578.871298
1.71E+12,06-04-2024 21:00,ANKR/USD,0.05996,0.0606,0.05868,0.05876,49945.15188,2934.777125
1.71E+12,06-04-2024 20:00,ANKR/USD,0.06089,0.0612,0.0595,0.05996,44108.20466,2644.727951
1.71E+12,06-04-2024 19:00,ANKR/USD,0.06167,0.0625,0.06089,0.06089,35800.30204,2179.880391
1.71E+12,06-04-2024 18:00,ANKR/USD,0.06031,0.06177,0.06031,0.06167,95032.15081,5860.63274
1.71E+12,06-04-2024 17:00,ANKR/USD,0.05992,0.06066,0.05977,0.06031,29200.83596,1761.102417
1.71E+12,06-04-2024 16:00,ANKR/USD,0.0578,0.06028,0.0578,0.05992,111985.5533,6710.174356
1.71E+12,06-04-2024 15:00,ANKR/USD,0.05782,0.0583,0.05767,0.0578,39328.50636,2273.187667
1.71E+12,06-04-2024 14:00,ANKR/USD,0.0579,0.0593,0.05759,0.05782,70760.31152,4091.361212
1.71E+12,06-04-2024 13:00,ANKR/USD,0.05698,0.0579,0.0568,0.0579,36711.31167,2125.584946
1.71E+12,06-04-2024 12:00,ANKR/USD,0.05651,0.05722,0.05649,0.05698,12833.71755,731.2652259
1.71E+12,06-04-2024 11:00,ANKR/USD,0.05708,0.05714,0.05651,0.05651,25458.50083,1438.659882
1.71E+12,06-04-2024 10:00,ANKR/USD,0.05633,0.05708,0.05633,0.05708,7333.407917,418.5909239
1.71E+12,06-04-2024 09:00,ANKR/USD,0.05696,0.05706,0.05633,0.05633,12015.95183,676.8585664
1.71E+12,06-04-2024 08:00,ANKR/USD,0.05619,0.05696,0.05619,0.05696,6554.151625,373.3244766
1.71E+12,06-04-2024 07:00,ANKR/USD,0.05672,0.05684,0.05619,0.05619,5354.90298,300.8919984
1.71E+12,06-04-2024 06:00,ANKR/USD,0.05667,0.05672,0.0562,0.05672,51719.00166,2933.501774
1.71E+12,06-04-2024 05:00,ANKR/USD,0.05618,0.057,0.05618,0.05667,119138.171,6751.560149
1.71E+12,06-04-2024 04:00,ANKR/USD,0.05632,0.05632,0.05589,0.05618,5869.083367,329.7251036
1.71E+12,06-04-2024 03:00,ANKR/USD,0.056,0.05706,0.056,0.05632,28401.33693,1599.563296
1.71E+12,06-04-2024 02:00,ANKR/USD,0.0564,0.0564,0.05554,0.056,11617.38859,650.5737609
1.71E+12,06-04-2024 01:00,ANKR/USD,0.05578,0.05644,0.05544,0.0564,18105.25292,1021.136265
1.71E+12,06-04-2024 00:00,ANKR/USD,0.05519,0.0561,0.05464,0.05578,27032.63787,1507.88054
1.71E+12,05-04-2024 23:00,ANKR/USD,0.05556,0.05556,0.05514,0.05519,2061.109841,113.7526521
1.71E+12,05-04-2024 22:00,ANKR/USD,0.05528,0.05556,0.05518,0.05556,5169.630985,287.2246975
1.71E+12,05-04-2024 21:00,ANKR/USD,0.05589,0.05589,0.05528,0.05528,6706.338596,370.7263976
1.71E+12,05-04-2024 20:00,ANKR/USD,0.05572,0.05606,0.05572,0.05589,4297.294976,240.1758162
1.71E+12,05-04-2024 19:00,ANKR/USD,0.05588,0.05602,0.05572,0.05572,1353.803383,75.4339245
1.71E+12,05-04-2024 18:00,ANKR/USD,0.05501,0.056,0.0549,0.05588,25224.37346,1409.537989
1.71E+12,05-04-2024 17:00,ANKR/USD,0.05504,0.05584,0.05501,0.05501,29754.39174,1636.78909
1.71E+12,05-04-2024 16:00,ANKR/USD,0.05482,0.05504,0.0545,0.05504,8982.794404,494.413004
1.71E+12,05-04-2024 15:00,ANKR/USD,0.0547,0.05482,0.0539,0.05482,195437.5776,10713.888
1.71E+12,05-04-2024 14:00,ANKR/USD,0.05441,0.0547,0.0538,0.0547,25178.94388,1377.28823
1.71E+12,05-04-2024 13:00,ANKR/USD,0.05346,0.05442,0.05343,0.05441,22348.92916,1216.005235
1.71E+12,05-04-2024 12:00,ANKR/USD,0.05221,0.05346,0.05189,0.05346,44811.32872,2395.613633
1.71E+12,05-04-2024 11:00,ANKR/USD,0.05272,0.05306,0.05221,0.05221,17353.33459,906.0175992
1.71E+12,05-04-2024 10:00,ANKR/USD,0.05288,0.053,0.05205,0.05272,20345.15532,1072.596589
1.71E+12,05-04-2024 09:00,ANKR/USD,0.05349,0.05349,0.05256,0.05288,18601.24042,983.6335936
1.71E+12,05-04-2024 08:00,ANKR/USD,0.0536,0.0544,0.05349,0.05349,21139.45397,1130.749393
1.71E+12,05-04-2024 07:00,ANKR/USD,0.05335,0.0536,0.05293,0.0536,11169.26287,598.6724899
1.71E+12,05-04-2024 06:00,ANKR/USD,0.05372,0.05392,0.05316,0.05335,136320.1937,7272.682334
1.71E+12,05-04-2024 05:00,ANKR/USD,0.05376,0.05378,0.05277,0.05372,24046.99424,1291.804531
1.71E+12,05-04-2024 04:00,ANKR/USD,0.0548,0.0548,0.05349,0.05376,17695.88662,951.3308646
1.71E+12,05-04-2024 03:00,ANKR/USD,0.05362,0.0548,0.05362,0.0548,23940.38957,1311.933348
1.71E+12,05-04-2024 02:00,ANKR/USD,0.05466,0.0547,0.05335,0.05362,25647.27646,1375.206964
1.71E+12,05-04-2024 01:00,ANKR/USD,0.05588,0.05588,0.0546,0.05466,24838.8132,1357.68953
1.71E+12,05-04-2024 00:00,ANKR/USD,0.0563,0.0563,0.0552,0.05588,27778.24939,1552.248576
1.71E+12,04-04-2024 23:00,ANKR/USD,0.05585,0.0563,0.05585,0.0563,3954.141504,222.6181667
1.71E+12,04-04-2024 22:00,ANKR/USD,0.05563,0.05618,0.05537,0.05585,15650.04687,874.0551177
1.71E+12,04-04-2024 21:00,ANKR/USD,0.05565,0.05608,0.05548,0.05563,55648.92067,3095.749457
1.71E+12,04-04-2024 20:00,ANKR/USD,0.05646,0.05646,0.05518,0.05565,47615.74548,2649.816236
1.71E+12,04-04-2024 19:00,ANKR/USD,0.05658,0.05702,0.05646,0.05646,11939.13914,674.0837956
1.71E+12,04-04-2024 18:00,ANKR/USD,0.05767,0.05789,0.05658,0.05658,49406.50666,2795.420147
1.71E+12,04-04-2024 17:00,ANKR/USD,0.05705,0.05814,0.05689,0.05767,115349.2211,6652.189579
1.71E+12,04-04-2024 16:00,ANKR/USD,0.05595,0.05718,0.05589,0.05705,22956.60564,1309.674352
1.71E+12,04-04-2024 15:00,ANKR/USD,0.05598,0.05674,0.05595,0.05595,22232.16953,1243.889885
1.71E+12,04-04-2024 14:00,ANKR/USD,0.05589,0.05607,0.05536,0.05598,41738.75069,2336.535263
1.71E+12,04-04-2024 13:00,ANKR/USD,0.05524,0.05646,0.05482,0.05589,48172.08996,2692.338108
1.71E+12,04-04-2024 12:00,ANKR/USD,0.0543,0.05524,0.054,0.05524,38290.69503,2115.177994
1.71E+12,04-04-2024 11:00,ANKR/USD,0.05363,0.05468,0.05361,0.0543,35443.62615,1924.5889
1.71E+12,04-04-2024 10:00,ANKR/USD,0.05413,0.05413,0.05363,0.05363,7652.416144,410.3990778
1.71E+12,04-04-2024 09:00,ANKR/USD,0.05396,0.0545,0.05396,0.05413,12632.86479,683.8169709
1.71E+12,04-04-2024 08:00,ANKR/USD,0.05335,0.05396,0.05333,0.05396,6482.376514,349.7890367
1.71E+12,04-04-2024 07:00,ANKR/USD,0.05293,0.05362,0.05293,0.05335,6576.470225,350.8546865
1.71E+12,04-04-2024 06:00,ANKR/USD,0.05298,0.05336,0.05293,0.05293,8904.065967,471.2922116
1.71E+12,04-04-2024 05:00,ANKR/USD,0.05208,0.05298,0.05208,0.05298,17947.30605,950.8482744
1.71E+12,04-04-2024 04:00,ANKR/USD,0.05217,0.05217,0.05136,0.05208,26394.8177,1374.642106
1.71E+12,04-04-2024 03:00,ANKR/USD,0.05272,0.05272,0.05217,0.05217,9437.124928,492.3348075
